# prompt	expected_surface
что такое свобода?	Тезис: свобода предполагает возможность выбора. Контрпункт: не любой выбор свободен: выбор под принуждением, страхом или незнанием не делает действие свободным. Следствие: свобода требует осознанности — только выбор, понятый как свой, превращает возможность в свободу. Проверка: верно ли это?
что такое произвол?	Тезис: произвол выражает отсутствие ограничений. Контрпункт: произвол разрушает доверие между субъектами. Проверка: верно ли это?
что такое ответственность?	Тезис: ответственность — это необходимость отвечать за свои действия. Контрпункт: ответственность связана с обязательствами перед другими. Проверка: верно ли это?
что такое истина?	Тезис: истина претендует на соответствие реальности. Контрпункт: доступ к реальности всегда опосредован наблюдателем — и наблюдатель не может выйти за пределы себя. Следствие: истина — не обладание, а дисциплина проверки: то, что выдерживает воспроизведение, ближе к истине. Проверка: верно ли это?
что такое мнение?	Тезис: мнение выражает позицию субъекта. Контрпункт: субъективность мнения не означает его ложности — она означает его ограниченность перспективой. Следствие: ценность мнения не в безличной истине, а в том, чью позицию оно раскрывает. Проверка: верно ли это?
что такое память?	Тезис: память это процесс запоминания хранения и воспроизведения информации. Контрпункт: память реконструирует а не просто копирует. Проверка: верно ли это?
что такое воспоминание?	Тезис: воспоминание восстанавливает пережитое в новой рамке. Контрпункт: реконструкция неизбежно привносит настоящее — мы вспоминаем не то, что пережили, а то, кем стали после пережитого. Следствие: два человека, пережившие одно событие, помнят его по-разному — и оба правдивы в своей памяти. Проверка: верно ли это?
что такое сознание?	Тезис: сознание это способность осознавать окружающий мир и самого себя. Контрпункт: сознание имеет аспект от первого лица. Проверка: верно ли это?
что такое самосознание?	Тезис: самосознание выражает рефлексивность субъекта. Контрпункт: самосознание предполагает наличие сознания как своего основания. Проверка: верно ли это?
что такое вера?	Тезис: вера требует принятия без полного доказательства. Контрпункт: принятие без доказательств не означает принятия вопреки доказательствам — вера, игнорирующая факты, перестаёт быть верой и становится самообманом. Следствие: вера — не замена знанию, а решение действовать в условиях неполноты. Проверка: верно ли это?
что такое красота?	Тезис: красота вызывает эстетическое переживание. Контрпункт: красота зависит от воспринимающего и культурной рамки. Проверка: верно ли это?
что такое долг?	Тезис: долг предписывает действие независимо от желания. Контрпункт: долг, лишённый внутреннего согласия, превращается в принуждение — и перестаёт быть моральным. Следствие: зрелый долг — не подчинение внешнему правилу, а принятие правила как своего. Проверка: верно ли это?
что такое доверие?	Тезис: доверие строится через повторяемый позитивный опыт. Контрпункт: доверие уязвимо: один провал может разрушить то, что строилось годами — потому что доверие асимметрично. Следствие: доверие — не ставка на гарантию, а решение принять риск. Проверка: верно ли это?
что такое страх?	Тезис: страх может парализовать действие или мобилизовать его. Контрпункт: страх сигнализирует об угрозе целостности субъекта. Проверка: верно ли это?
что такое надежда?	Тезис: надежда поддерживает действие в условиях неопределённости. Контрпункт: надежда ориентирует на возможность будущего. Проверка: верно ли это?
что такое справедливость?	Тезис: справедливость требует соразмерности между деянием и воздаянием. Контрпункт: соразмерность трудно измерить: как взвесить страдание или измерить ущерб намерению? Следствие: справедливость — не точная формула, а направление: стремление к соразмерности важнее точности. Проверка: верно ли это?
что такое время?	Тезис: время необратимо — прошлое недоступно для изменения. Контрпункт: время задаёт порядок следования событий. Проверка: верно ли это?
что такое разум?	Тезис: разум отличается от интуиции потребностью в доказательстве. Контрпункт: разум способен к обобщению и абстракции. Проверка: верно ли это?
что такое бытие?	Тезис: бытие обозначает сам факт существования. Контрпункт: бытие рассматривается как условие возможности любого суждения. Проверка: верно ли это?
что такое история?	Тезис: история зависит от точки зрения рассказчика. Контрпункт: история связывает прошлое с настоящим через интерпретацию. Проверка: верно ли это?
что такое язык?	Тезис: язык связан с мышлением — он не только выражает, но и формирует мысль. Контрпункт: язык структурирует опыт через различение и именование. Проверка: верно ли это?
что такое воля?	Тезис: воля направляет действие к выбранной цели. Контрпункт: сила воли не бесконечна — она истощается, как мышца, и требует восстановления. Следствие: воля — не характер, а практика: она тренируется через повторение, а не даётся от рождения. Проверка: верно ли это?
что такое смерть?	Тезис: смерть обозначает необратимое прекращение существования. Контрпункт: смерть задаёт границу, через которую жизнь обретает конечную форму. Проверка: верно ли это?
что такое одиночество?	Тезис: одиночество выражает отсутствие значимого другого. Контрпункт: одиночество может быть избрано или навязано обстоятельствами. Проверка: верно ли это?
что такое любовь?	Тезис: любовь направлена на конкретного другого как на безусловно ценного. Контрпункт: любовь предполагает уязвимость и риск потери. Проверка: верно ли это?
что такое труд?	Тезис: труд связан с потребностью и распределением ресурсов. Контрпункт: труд преобразует материал через целенаправленное усилие. Проверка: верно ли это?
что такое покой?	Тезис: покой обозначает отсутствие движения и напряжения. Контрпункт: покой необходим для восстановления и интеграции опыта. Проверка: верно ли это?
что такое власть?	Тезис: власть означает способность влиять на действия других. Контрпункт: власть определяет, чья воля становится законом. Проверка: верно ли это?
что такое правда?	Тезис: правда претендует на соответствие фактам. Контрпункт: правда отличается от истины личной вовлечённостью рассказчика. Проверка: верно ли это?
что такое молчание?	Тезис: молчание контрастирует с речью, но не тождественно пустоте. Контрпункт: молчание может быть актом отказа или знаком присутствия. Проверка: верно ли это?
