# Exact, marker-free leaves from QxFx0.Semantic.Content.Argued.
# Counter and conditional markers are realized by typed discourse constructors.
# Regenerate this overlay from the literal spCounter/spSynthesis values when they change.
leaf_id	leaf_kind	source_ru
freedom_1_counter	counter	не любой выбор свободен: выбор под принуждением, страхом или незнанием не делает действие свободным
freedom_1_synthesis	synthesis	свобода требует осознанности — только выбор, понятый как свой, превращает возможность в свободу
freedom_2_counter	counter	ответственность не отменяет свободу — она задаёт ей форму, а не отнимает её
freedom_2_synthesis	synthesis	граница между свободой и произволом проходит через ответственность: произвол игнорирует других, свобода учитывает
truth_1_counter	counter	доступ к реальности всегда опосредован наблюдателем — и наблюдатель не может выйти за пределы себя
truth_1_synthesis	synthesis	истина — не обладание, а дисциплина проверки: то, что выдерживает воспроизведение, ближе к истине
truth_2_counter	counter	воспроизводимость не гарантирует истину — она лишь отсеивает то, что точно ею не является
truth_2_synthesis	synthesis	наука не доказывает истину — она фальсифицирует ложь
responsibility_1_counter	counter	осознание последствий не гарантирует правильного выбора — оно лишь исключает неведение как оправдание
responsibility_1_synthesis	synthesis	ответственность начинается не с действия, а с готовности понимать, к чему действие ведёт
responsibility_2_counter	counter	обязательства перед другими не должны уничтожать обязательства перед собой
responsibility_2_synthesis	synthesis	зрелая ответственность — это баланс, а не жертва
fear_1_counter	counter	не любая угроза реальна: страх может быть вызван воображением, памятью или чужим рассказом — и тогда он сигнализирует не о мире, а о нас
fear_1_synthesis	synthesis	страх требует различения: сигнал — не приговор, а повод для проверки
fear_2_counter	counter	страх может указывать и на то, что мы не готовы отпустить — даже если это уже не служит
fear_2_synthesis	synthesis	страх полезен не ответом, а вопросом: что именно поставлено на кон?
faith_1_counter	counter	принятие без доказательств не означает принятия вопреки доказательствам — вера, игнорирующая факты, перестаёт быть верой и становится самообманом
faith_1_synthesis	synthesis	вера — не замена знанию, а решение действовать в условиях неполноты
faith_2_counter	counter	вера без сомнения — догма; доверие без проверки — наивность
faith_2_synthesis	synthesis	живая вера включает сомнение, а не отрицает его
consciousness_1_counter	counter	перспектива от первого лица не гарантирует достоверности — она гарантирует только неотменимость переживания
consciousness_1_synthesis	synthesis	сознание — не окно в реальность, а условие, при котором реальность вообще может быть увидена
consciousness_2_counter	counter	самоотчёт не исчерпывает сознания — многое из того, что мы переживаем, мы не можем выразить словами
consciousness_2_synthesis	synthesis	сознание шире языка, но язык — единственный доступный нам инструмент его исследования
memory_1_counter	counter	память не хранит прошлое нейтрально — она переписывает его при каждом обращении, подстраивая под настоящее
memory_1_synthesis	synthesis	память — не архив, а непрерывный процесс осмысления: мы помним не то, что было, а то, что значит для нас сейчас
memory_2_counter	counter	избирательность памяти — не только ограничение; это же — условие осмысленности: без фильтра мы бы тонули в деталях
memory_2_synthesis	synthesis	надёжность памяти — не в точности, а в устойчивости: то, что помнится несмотря на искажения, — важно
willfulness_1_counter	counter	отрицание критериев не освобождает от последствий — оно лишь делает их непредсказуемыми
willfulness_1_synthesis	synthesis	произвол — не свобода без правил, а отказ от самой идеи правила
opinion_1_counter	counter	субъективность мнения не означает его ложности — она означает его ограниченность перспективой
opinion_1_synthesis	synthesis	ценность мнения не в безличной истине, а в том, чью позицию оно раскрывает
remembrance_1_counter	counter	реконструкция неизбежно привносит настоящее — мы вспоминаем не то, что пережили, а то, кем стали после пережитого
remembrance_1_synthesis	synthesis	два человека, пережившие одно событие, помнят его по-разному — и оба правдивы в своей памяти
self_consciousness_1_counter	counter	взгляд на себя со стороны неизбежно искажает — мы видим не себя, а свою проекцию себя
self_consciousness_1_synthesis	synthesis	самосознание — не знание о себе, а непрерывный процесс само-вопрошания
beauty_1_counter	counter	субъективность красоты не делает её произвольной — красота требует отклика, а отклик требует общности восприятия
beauty_1_synthesis	synthesis	красота соединяет субъективное переживание и интерсубъективное признание
duty_1_counter	counter	долг, лишённый внутреннего согласия, превращается в принуждение — и перестаёт быть моральным
duty_1_synthesis	synthesis	зрелый долг — не подчинение внешнему правилу, а принятие правила как своего
trust_1_counter	counter	доверие уязвимо: один провал может разрушить то, что строилось годами — потому что доверие асимметрично
trust_1_synthesis	synthesis	доверие — не ставка на гарантию, а решение принять риск
hope_1_counter	counter	надежда без действия — фантазия; она утешает, но не меняет
hope_1_synthesis	synthesis	надежда работает только в паре с действием: она показывает направление, но не заменяет движение
justice_1_counter	counter	соразмерность трудно измерить: как взвесить страдание или измерить ущерб намерению?
justice_1_synthesis	synthesis	справедливость — не точная формула, а направление: стремление к соразмерности важнее точности
time_1_counter	counter	необратимость времени — не только ограничение; она же — условие осмысленности выбора: если всё можно отменить, ничто не имеет веса
time_1_synthesis	synthesis	время — не просто измерение физики, а условие, при котором действия имеют последствия
reason_1_counter	counter	самокоррекция требует того, что разуму даётся труднее всего: признания собственной неправоты
reason_1_synthesis	synthesis	разум — не инструмент для подтверждения уже известного, а дисциплина сомнения в нём
being_1_counter	counter	это не освобождает от ответственности: то, что бытие предшествует сущности, означает, что сущность — наша задача, а не данность
being_1_synthesis	synthesis	вопрос «кто я» не имеет готового ответа — он имеет только траекторию ответа
history_1_counter	counter	интерпретация принадлежит интерпретатору — и каждая эпоха переписывает историю под свои вопросы
history_1_synthesis	synthesis	история — не хроника, а спор о смысле произошедшего
language_1_counter	counter	язык не только ограничивает — он же и расширяет: новое слово создаёт новую возможность мысли
language_1_synthesis	synthesis	язык — не инструмент для выражения готовых мыслей, а среда, в которой мысли рождаются
will_1_counter	counter	сила воли не бесконечна — она истощается, как мышца, и требует восстановления
will_1_synthesis	synthesis	воля — не характер, а практика: она тренируется через повторение, а не даётся от рождения
death_1_counter	counter	осознание смерти не должно парализовать — оно должно обострять: жить так, будто времени бесконечно много — значит не жить вовсе
death_1_synthesis	synthesis	смерть — не противоположность жизни, а её условие осмысленности
solitude_1_counter	counter	одиночество — не всегда отсутствие других; иногда это присутствие себя, с которым трудно быть наедине
solitude_1_synthesis	synthesis	одиночество — не диагноз, а состояние: оно может быть выбрано, а может быть навязано, и это меняет всё
love_1_counter	counter	признание ценности другого не означает слияния с ним — любовь сохраняет границу между я и ты
love_1_synthesis	synthesis	любовь — не поглощение и не растворение, а присутствие рядом с тем, чья инаковость признана и сохранена
labour_1_counter	counter	труд, лишённый смысла, не преобразует — он истощает, превращая человека в функцию
labour_1_synthesis	synthesis	ценность труда не только в продукте, но и в том, кем становится трудящийся
peace_1_counter	counter	покой не вечен — равновесие требует поддержания, и малейший сдвиг выводит из него
peace_1_synthesis	synthesis	покой — не конечная точка, а динамическое состояние, которое нужно заново достигать
power_1_counter	counter	власть, не ограниченная ответственностью, неизбежно развращает — потому что исчезает обратная связь
power_1_synthesis	synthesis	легитимная власть — не та, которая сильнее, а та, которая может быть оспорена и сменена без разрушения
truth_right_1_counter	counter	персональная вовлечённость не делает правду субъективной — она делает её ответственной: за правду отвечают, за истину — нет
truth_right_1_synthesis	synthesis	«говорить правду» — не то же самое, что «сообщать факты»; это акт присутствия, а не информации
silence_1_counter	counter	молчание бывает и отказом, и согласием, и неспособностью — и различить их можно только по контексту
silence_1_synthesis	synthesis	молчание — не отсутствие коммуникации, а её предельная форма: оно требует интерпретации
