# Anti-rot registry (ADR-0042). Tab-separated. Append-only.
# Every cognitive field with a living consumer, every calibrated constant, and
# every explicitly-Deferred path that the roadmap touches is registered here.
# check_architecture.sh rule [21] fails if a listed test_name is absent from test/.
# Columns: artifact <TAB> kind <TAB> site <TAB> test_name <TAB> wp <TAB> adr <TAB> notes
artifact	kind	site	test_name	wp	adr	notes
emConatusStructuralFloor	value-guard	Self/Essence:defaultEssenceModulation	WP-F: conatus structural floor is in production log-scale (unit-guard)	F	ADR-0012	locks §15.1 fix vs arbitraryUnitDouble [0,1] regression
emConatusStructuralFloor	value-guard	Self/Essence:phase9-vs-default	WP-F: phase9 0.5 floor is a kept reference, not the live default	F	ADR-0012	phase9 0.5 is a regression reference, not live
emAngst*	deferred-contract	Self/Essence:angst-path	WP-F: angst-side essence params are explicitly Deferred (uncalibrated)	F	ADR-0012	pins §15.2 deferred angst params
recallForTrace	consumer	Core/TurnPipeline/Finalize/Projection.hs:trcEpisodicRetrieval	WP-B: recallForTrace is a living consumer of retrieve	B	ADR-0043	flag episodicRecallActive default-off; trace consumer of retrieve
ssUserModel	consumer	Core/Bayesian:updateUserModel + Finalize/State.hs	WP-A: updateUserModel is a living consumer of bayesianUpdateFromText	A	ADR-0044	flag userModelActive default-off; ssUserModel posterior updated per turn in Finalize
trcCognitiveSignals	consumer	Types/TurnProjection + Finalize/Projection:buildCognitiveSignals	WP-S: emptyCognitiveSignals has the documented zero shape	S	-	compute-once seam surfaced on trace; read by WP-D/E
clDoubtScore	consumer	Core/ConsciousnessLoop:computeDoubt + narrative suppression	WP-D: computeDoubt is the complement of confidence	D	ADR-0045	flag doubtLoopActive default-off; doubt derived from salience verdict, suppresses narrative when high
ssMood	consumer	Self/Field:updateMood + Finalize/State.hs	WP-E: mood EMA resists a single spike	E	ADR-0046	flag affectDecoupledActive default-off; mood EMA + arousal decoupled from tension
csContentSaliency	consumer	Core/Spectral:computeContentSaliency + Projection:buildCognitiveSignals	WP-C: content saliency is zero when flag is off	C	-	flag contentSalienceActive default-off; spectral clusters counted per turn in CognitiveSignals
deriveAtoms	consumer	Semantic/Logic:deriveAtoms + runSemanticLogic	WP-G: empty atoms -> no derived atoms	G	ADR-0047	flag derivedInferenceActive default-off; 3 derivation rules produce additional atoms from A-and-B patterns
structuredGenitive	consumer	Render/Dialogue:paradigmGenitive resolver over hardcoded exceptions	M2: paradigmGenitive is the living consumer of genitiveForm without hardcoded exceptions	M2	-	flag runtimeMorphologyActive default-off; paradigm-first resolver replaces hardcoded genitive exceptions + broken-genitive detector
ParityReference	infrastructure	Core/GFParityHarness + proposition-type reference table	M3-GF: verifyParity checks GF output against reference	M3	-	M3.0 parity harness; reference table starts empty, populated per-type in M3.1
